index,afrr_price_contracted_down,afrr_price_contracted_up,afrr_price_activated_down,afrr_price_activated_up
2021-01-01 00:00:00+02:00,0.01888,0.01508,0.0185,0.02407
2021-01-01 01:00:00+02:00,0.02222,0.02052,0.0185,0.02495
2021-01-01 02:00:00+02:00,0,0,0.02435,0.02435
2021-01-01 03:00:00+02:00,0,0,0.02398,0.02398
2021-01-01 04:00:00+02:00,0,0,0.02372,0.02372
2021-01-01 05:00:00+02:00,0,0,0.02373,0.02373
2021-01-01 06:00:00+02:00,0.03028,0.02533,0.02406,0.02406
2021-01-01 07:00:00+02:00,0.02958,0.02555,0.02444,0.02444
2021-01-01 08:00:00+02:00,0.03028,0.02578,0.02493,0.02493
2021-01-01 09:00:00+02:00,0.03119,0.02522,0.0249,0.0249
2021-01-01 10:00:00+02:00,0,0,0.021,0.02507
2021-01-01 11:00:00+02:00,0,0,0.021,0.02563
2021-01-01 12:00:00+02:00,0,0,0.023,0.02592
2021-01-01 13:00:00+02:00,0,0,0.0242,0.02613
2021-01-01 14:00:00+02:00,0.02113,0.02088,0.0242,0.02657
2021-01-01 15:00:00+02:00,0.02123,0.01908,0.0242,0.0273
2021-01-01 16:00:00+02:00,0.02129,0.0193,0.02861,0.02861
2021-01-01 17:00:00+02:00,0.02146,0.0193,0.03025,0.03025
2021-01-01 18:00:00+02:00,0.02139,0.0193,0.0256,0.03019
2021-01-01 19:00:00+02:00,0.02113,0.0193,0.0256,0.02882
2021-01-01 20:00:00+02:00,0.02014,0.0193,0.025,0.02825
2021-01-01 21:00:00+02:00,0.02019,0.01879,0.024,0.02732
2021-01-01 22:00:00+02:00,0.02099,0.01905,0.02287,0.02825
2021-01-01 23:00:00+02:00,0.02212,0.01934,0.02287,0.02701
2021-01-02 00:00:00+02:00,0.02214,0.01786,0.02264,0.02564
2021-01-02 01:00:00+02:00,0.02396,0.02042,0.02197,0.02559
2021-01-02 02:00:00+02:00,0,0,0.021,0.02491
2021-01-02 03:00:00+02:00,0,0,0.02006,0.02474
2021-01-02 04:00:00+02:00,0,0,0.02006,0.02466
2021-01-02 05:00:00+02:00,0,0,0.021,0.02472
2021-01-02 06:00:00+02:00,0,0,0.021,0.02492
2021-01-02 07:00:00+02:00,0,0,0.02,0.02562
2021-01-02 08:00:00+02:00,0.02901,0.0176,0.02053,0.02619
2021-01-02 09:00:00+02:00,0.0298,0.0176,0.022,0.02802
2021-01-02 10:00:00+02:00,0.0298,0.0176,0.022,0.02765
2021-01-02 11:00:00+02:00,0,0,0.022,0.02883
2021-01-02 12:00:00+02:00,0,0,0.02292,0.02976
2021-01-02 13:00:00+02:00,0,0,0.023,0.02862
2021-01-02 14:00:00+02:00,0,0,0.023,0.02872
2021-01-02 15:00:00+02:00,0,0,0.024,0.03673
2021-01-02 16:00:00+02:00,0,0,0.025,0.04605
2021-01-02 17:00:00+02:00,0.02378,0.02089,0.05888,0.05888
2021-01-02 18:00:00+02:00,0.02363,0.02088,0.06051,0.06051
2021-01-02 19:00:00+02:00,0.02435,0.01974,0.05984,0.05984
2021-01-02 20:00:00+02:00,0.02237,0.02111,0.04015,0.04015
2021-01-02 21:00:00+02:00,0.02339,0.02003,0.02738,0.0295
2021-01-02 22:00:00+02:00,0.02186,0.01683,0.03115,0.03115
2021-01-02 23:00:00+02:00,0.02342,0.0166,0.02791,0.02791
2021-01-03 00:00:00+02:00,0.02351,0.0166,0.02594,0.02594
2021-01-03 01:00:00+02:00,0.02461,0.0201,0.02527,0.02714
2021-01-03 02:00:00+02:00,0,0,0.02459,0.027
2021-01-03 03:00:00+02:00,0,0,0.02386,0.027
2021-01-03 04:00:00+02:00,0,0,0.02357,0.02357
2021-01-03 05:00:00+02:00,0,0,0.02349,0.02349
2021-01-03 06:00:00+02:00,0,0,0.02385,0.02385
2021-01-03 07:00:00+02:00,0,0,0.02405,0.02405
2021-01-03 08:00:00+02:00,0.02869,0.0216,0.023,0.0248
2021-01-03 09:00:00+02:00,0.0297,0.0216,0.022,0.02497
2021-01-03 10:00:00+02:00,0.02949,0.0216,0.022,0.02565
2021-01-03 11:00:00+02:00,0,0,0.022,0.026
2021-01-03 12:00:00+02:00,0,0,0.022,0.02607
2021-01-03 13:00:00+02:00,0,0,0.02048,0.02587
2021-01-03 14:00:00+02:00,0,0,0.02006,0.02583
2021-01-03 15:00:00+02:00,0,0,0.02006,0.02602
2021-01-03 16:00:00+02:00,0,0,0.02053,0.0265
2021-01-03 17:00:00+02:00,0.02397,0.02431,0.023,0.02805
2021-01-03 18:00:00+02:00,0.02379,0.02428,0.02853,0.02853
2021-01-03 19:00:00+02:00,0.02332,0.02368,0.02817,0.02817
2021-01-03 20:00:00+02:00,0.02288,0.02343,0.02792,0.02792
2021-01-03 21:00:00+02:00,0.02282,0.02302,0.0245,0.02756
2021-01-03 22:00:00+02:00,0.0218,0.02042,0.024,0.02812
2021-01-03 23:00:00+02:00,0.02365,0.0201,0.024,0.02618
2021-01-04 00:00:00+02:00,0.0237,0.0166,0.02492,0.02492
2021-01-04 01:00:00+02:00,0.02373,0.0197,0.02,0.02466
2021-01-04 02:00:00+02:00,0,0,0.02,0.02405
2021-01-04 03:00:00+02:00,0,0,0.0191,0.02388
2021-01-04 04:00:00+02:00,0,0,0.0191,0.02403
2021-01-04 05:00:00+02:00,0,0,0.02006,0.02458
2021-01-04 06:00:00+02:00,0.02741,0.02773,0.023,0.02584
2021-01-04 07:00:00+02:00,0.02542,0.02604,0.024,0.02821
