,scenario,fuse_size,dso_packet,battery,pv_capacity,cost_sum,cost_mean
0,Baas,16,net3,Puudub,0,601.0,1.65
1,Kaitse:16 + net1 + PV:4 + Aku:Puudub,16,net1,Puudub,4,321.0,0.88
2,Kaitse:16 + net1 + PV:4 + Aku:Tesla Powerwall 2,16,net1,Tesla Powerwall 2,4,9.0,0.02
3,Kaitse:16 + net1 + PV:4 + Aku:LG Chem RESU,16,net1,LG Chem RESU,4,144.0,0.39
4,Kaitse:16 + net2 + PV:4 + Aku:Puudub,16,net2,Puudub,4,294.0,0.8
5,Kaitse:16 + net2 + PV:4 + Aku:Tesla Powerwall 2,16,net2,Tesla Powerwall 2,4,2.0,0.01
6,Kaitse:16 + net2 + PV:4 + Aku:LG Chem RESU,16,net2,LG Chem RESU,4,124.0,0.34
7,Kaitse:16 + net3 + PV:4 + Aku:Puudub,16,net3,Puudub,4,222.0,0.61
8,Kaitse:16 + net3 + PV:4 + Aku:Tesla Powerwall 2,16,net3,Tesla Powerwall 2,4,-33.0,-0.09
9,Kaitse:16 + net3 + PV:4 + Aku:LG Chem RESU,16,net3,LG Chem RESU,4,73.0,0.2
10,Kaitse:16 + net4 + PV:4 + Aku:Puudub,16,net4,Puudub,4,209.0,0.57
11,Kaitse:16 + net4 + PV:4 + Aku:Tesla Powerwall 2,16,net4,Tesla Powerwall 2,4,-39.0,-0.11
12,Kaitse:16 + net4 + PV:4 + Aku:LG Chem RESU,16,net4,LG Chem RESU,4,63.0,0.17
13,Kaitse:20 + net1 + PV:4 + Aku:Puudub,20,net1,Puudub,4,321.0,0.88
14,Kaitse:20 + net1 + PV:4 + Aku:Tesla Powerwall 2,20,net1,Tesla Powerwall 2,4,9.0,0.02
15,Kaitse:20 + net1 + PV:4 + Aku:LG Chem RESU,20,net1,LG Chem RESU,4,144.0,0.39
16,Kaitse:20 + net2 + PV:4 + Aku:Puudub,20,net2,Puudub,4,294.0,0.8
17,Kaitse:20 + net2 + PV:4 + Aku:Tesla Powerwall 2,20,net2,Tesla Powerwall 2,4,2.0,0.01
18,Kaitse:20 + net2 + PV:4 + Aku:LG Chem RESU,20,net2,LG Chem RESU,4,124.0,0.34
19,Kaitse:20 + net3 + PV:4 + Aku:Puudub,20,net3,Puudub,4,242.0,0.66
20,Kaitse:20 + net3 + PV:4 + Aku:Tesla Powerwall 2,20,net3,Tesla Powerwall 2,4,-25.0,-0.07
21,Kaitse:20 + net3 + PV:4 + Aku:LG Chem RESU,20,net3,LG Chem RESU,4,88.0,0.24
22,Kaitse:20 + net4 + PV:4 + Aku:Puudub,20,net4,Puudub,4,229.0,0.63
23,Kaitse:20 + net4 + PV:4 + Aku:Tesla Powerwall 2,20,net4,Tesla Powerwall 2,4,-29.0,-0.08
24,Kaitse:20 + net4 + PV:4 + Aku:LG Chem RESU,20,net4,LG Chem RESU,4,78.0,0.21
25,Kaitse:32 + net1 + PV:4 + Aku:Puudub,32,net1,Puudub,4,355.0,0.97
26,Kaitse:32 + net1 + PV:4 + Aku:Tesla Powerwall 2,32,net1,Tesla Powerwall 2,4,23.0,0.06
27,Kaitse:32 + net1 + PV:4 + Aku:LG Chem RESU,32,net1,LG Chem RESU,4,168.0,0.46
28,Kaitse:32 + net2 + PV:4 + Aku:Puudub,32,net2,Puudub,4,328.0,0.9
29,Kaitse:32 + net2 + PV:4 + Aku:Tesla Powerwall 2,32,net2,Tesla Powerwall 2,4,17.0,0.05
30,Kaitse:32 + net2 + PV:4 + Aku:LG Chem RESU,32,net2,LG Chem RESU,4,149.0,0.41
31,Kaitse:32 + net3 + PV:4 + Aku:Puudub,32,net3,Puudub,4,297.0,0.81
32,Kaitse:32 + net3 + PV:4 + Aku:Tesla Powerwall 2,32,net3,Tesla Powerwall 2,4,-1.0,-0.0
33,Kaitse:32 + net3 + PV:4 + Aku:LG Chem RESU,32,net3,LG Chem RESU,4,127.0,0.35
34,Kaitse:32 + net4 + PV:4 + Aku:Puudub,32,net4,Puudub,4,284.0,0.78
35,Kaitse:32 + net4 + PV:4 + Aku:Tesla Powerwall 2,32,net4,Tesla Powerwall 2,4,-4.0,-0.01
36,Kaitse:32 + net4 + PV:4 + Aku:LG Chem RESU,32,net4,LG Chem RESU,4,118.0,0.32
37,Kaitse:16 + net1 + PV:6 + Aku:Puudub,16,net1,Puudub,6,131.0,0.36
38,Kaitse:16 + net1 + PV:6 + Aku:Tesla Powerwall 2,16,net1,Tesla Powerwall 2,6,-196.0,-0.54
39,Kaitse:16 + net1 + PV:6 + Aku:LG Chem RESU,16,net1,LG Chem RESU,6,-51.0,-0.14
40,Kaitse:16 + net2 + PV:6 + Aku:Puudub,16,net2,Puudub,6,104.0,0.28
41,Kaitse:16 + net2 + PV:6 + Aku:Tesla Powerwall 2,16,net2,Tesla Powerwall 2,6,-202.0,-0.55
42,Kaitse:16 + net2 + PV:6 + Aku:LG Chem RESU,16,net2,LG Chem RESU,6,-70.0,-0.19
43,Kaitse:16 + net3 + PV:6 + Aku:Puudub,16,net3,Puudub,6,32.0,0.09
44,Kaitse:16 + net3 + PV:6 + Aku:Tesla Powerwall 2,16,net3,Tesla Powerwall 2,6,-237.0,-0.65
45,Kaitse:16 + net3 + PV:6 + Aku:LG Chem RESU,16,net3,LG Chem RESU,6,-121.0,-0.33
46,Kaitse:16 + net4 + PV:6 + Aku:Puudub,16,net4,Puudub,6,19.0,0.05
47,Kaitse:16 + net4 + PV:6 + Aku:Tesla Powerwall 2,16,net4,Tesla Powerwall 2,6,-242.0,-0.66
48,Kaitse:16 + net4 + PV:6 + Aku:LG Chem RESU,16,net4,LG Chem RESU,6,-131.0,-0.36
49,Kaitse:20 + net1 + PV:6 + Aku:Puudub,20,net1,Puudub,6,131.0,0.36
50,Kaitse:20 + net1 + PV:6 + Aku:Tesla Powerwall 2,20,net1,Tesla Powerwall 2,6,-196.0,-0.54
51,Kaitse:20 + net1 + PV:6 + Aku:LG Chem RESU,20,net1,LG Chem RESU,6,-51.0,-0.14
52,Kaitse:20 + net2 + PV:6 + Aku:Puudub,20,net2,Puudub,6,104.0,0.28
53,Kaitse:20 + net2 + PV:6 + Aku:Tesla Powerwall 2,20,net2,Tesla Powerwall 2,6,-202.0,-0.55
54,Kaitse:20 + net2 + PV:6 + Aku:LG Chem RESU,20,net2,LG Chem RESU,6,-70.0,-0.19
55,Kaitse:20 + net3 + PV:6 + Aku:Puudub,20,net3,Puudub,6,52.0,0.14
56,Kaitse:20 + net3 + PV:6 + Aku:Tesla Powerwall 2,20,net3,Tesla Powerwall 2,6,-228.0,-0.63
57,Kaitse:20 + net3 + PV:6 + Aku:LG Chem RESU,20,net3,LG Chem RESU,6,-107.0,-0.29
58,Kaitse:20 + net4 + PV:6 + Aku:Puudub,20,net4,Puudub,6,39.0,0.11
59,Kaitse:20 + net4 + PV:6 + Aku:Tesla Powerwall 2,20,net4,Tesla Powerwall 2,6,-232.0,-0.64
60,Kaitse:20 + net4 + PV:6 + Aku:LG Chem RESU,20,net4,LG Chem RESU,6,-117.0,-0.32
61,Kaitse:32 + net1 + PV:6 + Aku:Puudub,32,net1,Puudub,6,165.0,0.45
62,Kaitse:32 + net1 + PV:6 + Aku:Tesla Powerwall 2,32,net1,Tesla Powerwall 2,6,-182.0,-0.5
63,Kaitse:32 + net1 + PV:6 + Aku:LG Chem RESU,32,net1,LG Chem RESU,6,-27.0,-0.07
