index,consumption_factor_monthly,consumption_factor_yearly
01.01.2021 00:00,0.001158546,0.000112379
01.01.2021 01:00,0.001139775,0.000110558
01.01.2021 02:00,0.001113247,0.000107985
01.01.2021 03:00,0.001070738,0.000103862
01.01.2021 04:00,0.001056542,0.000102485
01.01.2021 05:00,0.001032518,0.000100154
01.01.2021 06:00,0.001040529,0.000100931
01.01.2021 07:00,0.001041232,0.000101000
01.01.2021 08:00,0.001061585,0.000102974
01.01.2021 09:00,0.001095141,0.000106229
01.01.2021 10:00,0.001149846,0.000111535
01.01.2021 11:00,0.001212063,0.000117570
01.01.2021 12:00,0.001238078,0.000120094
01.01.2021 13:00,0.001253757,0.000121614
01.01.2021 14:00,0.001268412,0.000123036
01.01.2021 15:00,0.0013131,0.000127371
01.01.2021 16:00,0.001387258,0.000134564
01.01.2021 17:00,0.001404363,0.000136223
01.01.2021 18:00,0.001399568,0.000135758
01.01.2021 19:00,0.001371973,0.000133081
01.01.2021 20:00,0.001343868,0.000130355
01.01.2021 21:00,0.001300958,0.000126193
01.01.2021 22:00,0.001217567,0.000118104
01.01.2021 23:00,0.001143767,0.000110945
02.01.2021 00:00,0.001181617,0.000114617
02.01.2021 01:00,0.001137088,0.000110298
02.01.2021 02:00,0.001111057,0.000107773
02.01.2021 03:00,0.001096117,0.000106323
02.01.2021 04:00,0.00109812,0.000106518
02.01.2021 05:00,0.001127211,0.000109339
02.01.2021 06:00,0.001244504,0.000120717
02.01.2021 07:00,0.001399435,0.000135745
02.01.2021 08:00,0.001478766,0.000143440
02.01.2021 09:00,0.001487927,0.000144329
02.01.2021 10:00,0.001458916,0.000141515
02.01.2021 11:00,0.001453765,0.000141015
02.01.2021 12:00,0.001437697,0.000139457
02.01.2021 13:00,0.001448109,0.000140467
02.01.2021 14:00,0.001463804,0.000141989
02.01.2021 15:00,0.001480783,0.000143636
02.01.2021 16:00,0.001535667,0.000148960
02.01.2021 17:00,0.001593714,0.000154590
02.01.2021 18:00,0.001609478,0.000156119
02.01.2021 19:00,0.001584676,0.000153714
02.01.2021 20:00,0.001546219,0.000149983
02.01.2021 21:00,0.001489804,0.000144511
02.01.2021 22:00,0.001379249,0.000133787
02.01.2021 23:00,0.001265757,0.000122778
03.01.2021 00:00,0.001178382,0.000114303
03.01.2021 01:00,0.001125567,0.000109180
03.01.2021 02:00,0.001097663,0.000106473
03.01.2021 03:00,0.001082883,0.000105040
03.01.2021 04:00,0.001084663,0.000105212
03.01.2021 05:00,0.001109185,0.000107591
